amount,dataset,date,longitude,latitude
8,CBERS4_AWFI_L4_SR,2017-03-26,-49.0,1.0
9,CBERS4_AWFI_L4_SR,2017-03-27,-45.5,-20.5
8,CBERS4_AWFI_L4_SR,2017-03-28,-57.0,1.0
8,CBERS4_AWFI_L4_SR,2017-03-29,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-03-30,-41.0,-4.5
6,CBERS4_AWFI_L4_SR,2017-03-31,-58.5,-9.5
8,CBERS4_AWFI_L4_SR,2017-04-01,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-02,-40.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-03,-55.0,1.0
8,CBERS4_AWFI_L4_SR,2017-04-04,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-05,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-06,-55.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-04-07,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-04-08,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-09,-54.5,-4.0
10,CBERS4_AWFI_L4_SR,2017-04-10,-45.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-04-11,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-12,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-04-13,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-04-14,-36.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-15,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2017-04-16,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-04-17,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-18,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2017-04-19,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-20,-35.0,-9.5
9,CBERS4_AWFI_L4_SR,2017-04-21,-49.0,1.0
13,CBERS4_AWFI_L4_SR,2017-04-22,-42.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-23,-57.0,1.0
10,CBERS4_AWFI_L4_SR,2017-04-24,-48.5,1.0
13,CBERS4_AWFI_L4_SR,2017-04-25,-41.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-26,-57.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-04-27,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-04-28,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-04-29,-56.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-04-30,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-05-01,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-02,-55.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-05-03,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-05-04,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-05,-54.5,-4.0
8,CBERS4_AWFI_L4_SR,2017-05-06,-45.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-05-07,-38.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-05-08,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-05-09,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-05-10,-36.0,-4.5
9,CBERS4_MUX_L4_SR,2017-05-10,-36.0,-5.5
10,CBERS4_AWFI_L4_SR,2017-05-12,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-05-13,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-14,-50.0,1.0
11,CBERS4_AWFI_L4_SR,2017-05-15,-42.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-05-16,-34.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-17,-49.0,1.5
12,CBERS4_AWFI_L4_SR,2017-05-18,-42.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-19,-57.0,1.0
10,CBERS4_AWFI_L4_SR,2017-05-20,-48.5,1.0
12,CBERS4_AWFI_L4_SR,2017-05-21,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-22,-56.0,1.0
10,CBERS4_AWFI_L4_SR,2017-05-23,-47.5,1.0
11,CBERS4_AWFI_L4_SR,2017-05-24,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-25,-56.0,-4.0
8,CBERS4_AWFI_L4_SR,2017-05-26,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-05-27,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-05-28,-55.0,-4.0
8,CBERS4_AWFI_L4_SR,2017-05-29,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-05-30,-38.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-05-31,-53.0,1.0
10,CBERS4_AWFI_L4_SR,2017-06-01,-45.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-06-02,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-03,-52.0,1.5
8,CBERS4_AWFI_L4_SR,2017-06-04,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-06-05,-36.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-06,-51.0,1.0
11,CBERS4_AWFI_L4_SR,2017-06-07,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-06-08,-36.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-06-09,-50.0,1.5
10,CBERS4_AWFI_L4_SR,2017-06-10,-42.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-06-11,-34.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-12,-49.0,1.0
1,CBERS4_AWFI_L4_DN,2017-06-13,-43.0,-9.5
11,CBERS4_AWFI_L4_SR,2017-06-13,-42.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-14,-57.0,1.0
9,CBERS4_AWFI_L4_SR,2017-06-15,-49.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-06-16,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-17,-56.0,1.0
9,CBERS4_AWFI_L4_SR,2017-06-18,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-06-19,-40.0,-4.5
13,CBERS4_MUX_L4_SR,2017-06-19,-41.5,-11.5
8,CBERS4_AWFI_L4_SR,2017-06-20,-55.0,1.0
8,CBERS4_AWFI_L4_SR,2017-06-21,-47.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-06-22,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-06-23,-55.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-24,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-06-25,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-06-26,-54.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-27,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-06-28,-37.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-06-29,-52.0,1.0
9,CBERS4_AWFI_L4_SR,2017-06-30,-44.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-07-01,-36.0,-4.5
3,CBERS4_MUX_L4_SR,2017-07-01,-39.0,-17.0
7,CBERS4_AWFI_L4_SR,2017-07-02,-52.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-07-03,-43.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-07-04,-36.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-07-05,-50.0,1.0
12,CBERS4_AWFI_L4_SR,2017-07-06,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-07-07,-58.0,1.0
8,CBERS4_AWFI_L4_SR,2017-07-08,-49.0,1.0
13,CBERS4_AWFI_L4_SR,2017-07-09,-41.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-07-10,-58.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-07-11,-48.5,1.0
1,CBERS4_PAN10M_L4_DN,2017-07-11,-50.0,-6.0
1,CBERS4_PAN5M_L4_DN,2017-07-11,-50.0,-6.0
12,CBERS4_AWFI_L4_SR,2017-07-12,-41.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-07-13,-57.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-07-14,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-07-15,-40.0,-4.5
6,CBERS4_AWFI_L4_SR,2017-07-16,-57.5,-9.5
7,CBERS4_AWFI_L4_SR,2017-07-17,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-07-18,-39.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-07-19,-55.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-07-20,-46.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-07-21,-38.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-07-22,-53.0,1.0
6,CBERS4_AWFI_L4_SR,2017-07-23,-45.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-07-24,-38.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-07-25,-52.0,1.0
7,CBERS4_AWFI_L4_SR,2017-07-26,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-07-27,-37.0,-9.5
7,CBERS4_AWFI_L4_SR,2017-07-28,-52.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-07-29,-43.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-07-30,-36.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-07-31,-50.0,1.5
9,CBERS4_AWFI_L4_SR,2017-08-01,-42.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-08-02,-35.0,-9.5
11,CBERS4_AWFI_L4_SR,2017-08-03,-49.0,1.0
12,CBERS4_AWFI_L4_SR,2017-08-04,-41.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-08-05,-57.0,1.0
11,CBERS4_AWFI_L4_SR,2017-08-06,-48.0,1.0
11,CBERS4_AWFI_L4_SR,2017-08-07,-40.5,-4.5
20,CBERS4_MUX_L4_SR,2017-08-07,-41.0,-5.5
8,CBERS4_AWFI_L4_SR,2017-08-08,-56.0,1.0
8,CBERS4_AWFI_L4_SR,2017-08-09,-48.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-08-10,-40.0,-4.5
19,CBERS4_MUX_L4_SR,2017-08-10,-39.5,-3.5
7,CBERS4_AWFI_L4_SR,2017-08-11,-56.0,-4.0
6,CBERS4_AWFI_L4_SR,2017-08-12,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-08-13,-39.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-08-14,-54.0,1.0
8,CBERS4_AWFI_L4_SR,2017-08-15,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-08-16,-38.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-08-17,-54.0,-4.0
8,CBERS4_AWFI_L4_SR,2017-08-18,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-08-19,-37.0,-4.5
3,CBERS4_AWFI_L4_SR,2017-08-22,-36.0,-4.5
5,CBERS4_AWFI_L4_SR,2017-08-24,-66.5,6.5
8,CBERS4_AWFI_L4_SR,2017-08-25,-59.0,1.0
11,CBERS4_AWFI_L4_SR,2017-08-27,-42.5,-4.5
5,CBERS4_AWFI_L4_SR,2017-08-28,-34.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-08-29,-49.0,1.0
11,CBERS4_AWFI_L4_SR,2017-08-30,-41.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-08-31,-57.0,1.0
8,CBERS4_AWFI_L4_SR,2017-09-01,-48.5,1.0
12,CBERS4_AWFI_L4_SR,2017-09-02,-40.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-09-03,-57.0,-4.5
10,CBERS4_AWFI_L4_SR,2017-09-04,-47.5,1.0
10,CBERS4_AWFI_L4_SR,2017-09-05,-41.0,-9.5
6,CBERS4_AWFI_L4_SR,2017-09-06,-57.5,-9.5
7,CBERS4_AWFI_L4_SR,2017-09-07,-47.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-09-12,-54.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-09-13,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-09-14,-37.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-09-15,-53.5,-4.0
8,CBERS4_AWFI_L4_SR,2017-09-16,-44.5,-4.5
10,CBERS4_AWFI_L4_SR,2017-09-17,-36.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-09-18,-52.5,-4.5
9,CBERS4_AWFI_L4_SR,2017-09-19,-43.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-09-20,-35.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-09-21,-50.0,1.0
6,CBERS4_AWFI_L4_SR,2017-09-22,-42.5,-4.5
17,CBERS4_MUX_L4_SR,2017-09-22,-43.0,-6.5
8,CBERS4_AWFI_L4_SR,2017-09-23,-58.0,1.0
8,CBERS4_AWFI_L4_SR,2017-09-24,-50.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-09-25,-41.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-09-26,-57.0,1.0
1,CBERS4_AWFI_L4_DN,2017-09-27,-53.0,-20.5
7,CBERS4_AWFI_L4_SR,2017-09-27,-49.5,-4.5
2,CBERS4_AWFI_L4_DN,2017-09-28,-43.0,-15.0
10,CBERS4_AWFI_L4_SR,2017-09-28,-41.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-09-29,-56.0,1.0
9,CBERS4_AWFI_L4_SR,2017-09-30,-47.5,1.0
13,CBERS4_AWFI_L4_SR,2017-10-01,-40.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-10-02,-56.0,-4.5
10,CBERS4_AWFI_L4_SR,2017-10-03,-46.5,1.0
6,CBERS4_AWFI_L4_SR,2017-10-04,-64.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-10-05,-55.0,-4.0
8,CBERS4_AWFI_L4_SR,2017-10-06,-46.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-10-07,-38.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-10-08,-53.0,1.0
7,CBERS4_AWFI_L4_SR,2017-10-09,-45.5,-4.5
12,CBERS4_AWFI_L4_SR,2017-10-10,-37.0,-4.5
7,CBERS4_AWFI_L4_SR,2017-10-11,-53.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-10-12,-44.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-10-13,-37.0,-9.5
7,CBERS4_AWFI_L4_SR,2017-10-14,-52.5,-4.0
7,CBERS4_AWFI_L4_SR,2017-10-15,-43.5,-4.5
7,CBERS4_AWFI_L4_SR,2017-10-16,-36.0,-9.5
3,CBERS4_AWFI_L4_DN,2017-10-17,-50.0,1.0
5,CBERS4_AWFI_L4_SR,2017-10-17,-52.5,-9.5
12,CBERS4_AWFI_L4_SR,2017-10-18,-42.5,-4.5
8,CBERS4_AWFI_L4_SR,2017-10-19,-35.0,-9.5
8,CBERS4_AWFI_L4_SR,2017-10-20,-49.0,1.0
12,CBERS4_AWFI_L4_SR,2017-10-21,-42.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-10-22,-56.0,6.5
11,CBERS4_AWFI_L4_SR,2017-10-23,-48.5,1.0
12,CBERS4_AWFI_L4_SR,2017-10-24,-41.0,-4.5
1,CBERS4_AWFI_L4_DN,2017-10-25,-57.0,-4.5
8,CBERS4_AWFI_L4_SR,2017-10-25,-55.0,6.5
3,CBERS4_AWFI_L4_DN,2017-10-26,-53.5,-25.5
8,CBERS4_AWFI_L4_SR,2017-10-26,-48.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-10-27,-41.0,-9.5
9,CBERS4_AWFI_L4_SR,2017-10-28,-54.0,6.5
11,CBERS4_AWFI_L4_SR,2017-10-29,-47.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-10-30,-39.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-10-31,-53.0,6.5
10,CBERS4_AWFI_L4_SR,2017-11-01,-46.5,-4.5
41,CBERS4_MUX_L4_SR,2017-11-01,-47.0,-6.5
13,CBERS4_AWFI_L4_SR,2017-11-02,-38.0,-4.5
44,CBERS4_MUX_L4_SR,2017-11-02,-38.0,-4.5
9,CBERS4_AWFI_L4_SR,2017-11-03,-52.0,6.5
33,CBERS4_MUX_L4_SR,2017-11-03,-53.5,0.0
10,CBERS4_AWFI_L4_SR,2017-11-04,-45.5,-4.5
20,CBERS4_MUX_L4_SR,2017-11-04,-46.0,-5.5
10,CBERS4_AWFI_L4_SR,2017-11-05,-37.0,-4.5
46,CBERS4_MUX_L4_SR,2017-11-05,-37.0,-5.5
8,CBERS4_AWFI_L4_SR,2017-11-06,-52.0,1.0
33,CBERS4_MUX_L4_SR,2017-11-06,-52.5,-1.0
10,CBERS4_AWFI_L4_SR,2017-11-07,-44.5,-4.5
24,CBERS4_MUX_L4_SR,2017-11-07,-44.5,-2.5
13,CBERS4_AWFI_L4_SR,2017-11-08,-36.0,-4.5
39,CBERS4_MUX_L4_SR,2017-11-08,-36.0,-5.5
10,CBERS4_AWFI_L4_SR,2017-11-09,-51.0,1.0
1,CBERS4_MUX_L4_DN,2017-11-09,-52.0,-3.5
40,CBERS4_MUX_L4_SR,2017-11-09,-51.0,1.0
10,CBERS4_AWFI_L4_SR,2017-11-10,-43.5,-4.5
1,CBERS4_MUX_L4_DN,2017-11-10,-67.0,3.5
21,CBERS4_MUX_L4_SR,2017-11-10,-43.5,-3.5
12,CBERS4_AWFI_L4_SR,2017-11-11,-35.0,-4.5
36,CBERS4_MUX_L4_SR,2017-11-11,-35.5,-6.5
10,CBERS4_AWFI_L4_SR,2017-11-12,-50.5,1.0
36,CBERS4_MUX_L4_SR,2017-11-12,-51.0,-2.0
12,CBERS4_AWFI_L4_SR,2017-11-13,-42.5,-4.5
1,CBERS4_MUX_L4_DN,2017-11-13,-67.5,-2.0
10,CBERS4_MUX_L4_SR,2017-11-13,-66.0,4.5
11,CBERS4_AWFI_L4_SR,2017-11-14,-34.0,-4.5
36,CBERS4_MUX_L4_SR,2017-11-14,-57.0,5.5
11,CBERS4_AWFI_L4_SR,2017-11-15,-49.5,1.0
28,CBERS4_MUX_L4_SR,2017-11-15,-50.0,-2.0
13,CBERS4_AWFI_L4_SR,2017-11-16,-42.0,-4.5
39,CBERS4_MUX_L4_SR,2017-11-16,-41.5,-2.5
9,CBERS4_AWFI_L4_SR,2017-11-17,-56.0,6.5
25,CBERS4_MUX_L4_SR,2017-11-17,-56.0,5.5
11,CBERS4_AWFI_L4_SR,2017-11-18,-48.5,1.0
1,CBERS4_MUX_L4_DN,2017-11-18,-50.5,-8.0
30,CBERS4_MUX_L4_SR,2017-11-18,-48.5,-1.0
13,CBERS4_AWFI_L4_SR,2017-11-19,-41.0,-4.5
35,CBERS4_MUX_L4_SR,2017-11-19,-40.5,-3.5
9,CBERS4_AWFI_L4_SR,2017-11-20,-55.0,6.5
11,CBERS4_AWFI_L4_SR,2017-11-21,-48.5,-4.5
15,CBERS4_MUX_L4_SR,2017-11-21,-72.5,2.0
12,CBERS4_AWFI_L4_SR,2017-11-22,-40.0,-4.5
44,CBERS4_MUX_L4_SR,2017-11-22,-40.5,-7.0
5,CBERS4_AWFI_L4_DN,2017-11-23,-57.5,-9.5
4,CBERS4_AWFI_L4_SR,2017-11-23,-54.0,6.5
33,CBERS4_MUX_L4_DN,2017-11-23,-55.5,-2.0
11,CBERS4_AWFI_L4_SR,2017-11-24,-47.5,-4.5
32,CBERS4_MUX_L4_DN,2017-11-24,-48.0,-5.5
12,CBERS4_AWFI_L4_SR,2017-11-25,-39.0,-4.5
28,CBERS4_MUX_L4_SR,2017-11-25,-62.0,4.5
6,CBERS4_AWFI_L4_DN,2017-11-26,-56.5,-9.5
3,CBERS4_AWFI_L4_SR,2017-11-26,-53.0,6.5
11,CBERS4_AWFI_L4_SR,2017-11-27,-46.5,-4.5
1,CBERS4_MUX_L4_DN,2017-11-27,-72.5,-8.0
29,CBERS4_MUX_L4_SR,2017-11-27,-46.5,-4.5
13,CBERS4_AWFI_L4_SR,2017-11-28,-38.0,-4.5
32,CBERS4_MUX_L4_SR,2017-11-28,-38.0,-5.5
5,CBERS4_AWFI_L4_SR,2017-11-29,-53.0,1.0
1,CBERS4_MUX_L4_DN,2017-11-29,-55.5,-9.0
27,CBERS4_MUX_L4_SR,2017-11-29,-54.0,-2.0
12,CBERS4_AWFI_L4_SR,2017-11-30,-45.5,-4.5
20,CBERS4_MUX_L4_SR,2017-11-30,-46.5,-9.0
12,CBERS4_AWFI_L4_SR,2017-12-01,-37.0,-4.5
22,CBERS4_MUX_L4_SR,2017-12-01,-37.5,-7.0
9,CBERS4_AWFI_L4_SR,2017-12-02,-52.0,1.0
16,CBERS4_MUX_L4_SR,2017-12-02,-53.5,-4.5
11,CBERS4_AWFI_L4_SR,2017-12-03,-44.5,-4.5
21,CBERS4_MUX_L4_SR,2017-12-03,-44.5,-2.5
12,CBERS4_AWFI_L4_SR,2017-12-04,-36.0,-4.5
20,CBERS4_MUX_L4_SR,2017-12-04,-37.0,-8.0
9,CBERS4_AWFI_L4_SR,2017-12-05,-51.0,1.0
24,CBERS4_MUX_L4_SR,2017-12-05,-52.0,-2.0
10,CBERS4_AWFI_L4_SR,2017-12-06,-43.5,-4.5
17,CBERS4_MUX_L4_SR,2017-12-06,-43.5,-3.5
12,CBERS4_AWFI_L4_SR,2017-12-07,-35.0,-4.5
23,CBERS4_MUX_L4_SR,2017-12-07,-35.5,-7.0
10,CBERS4_AWFI_L4_SR,2017-12-08,-50.5,1.0
22,CBERS4_MUX_L4_SR,2017-12-08,-52.0,-8.0
11,CBERS4_AWFI_L4_SR,2017-12-09,-43.0,-4.5
22,CBERS4_MUX_L4_SR,2017-12-09,-42.5,-2.5
10,CBERS4_AWFI_L4_SR,2017-12-10,-35.5,-9.5
20,CBERS4_MUX_L4_SR,2017-12-10,-58.5,-2.0
11,CBERS4_AWFI_L4_SR,2017-12-11,-49.5,1.0
29,CBERS4_MUX_L4_SR,2017-12-11,-50.0,-2.0
10,CBERS4_AWFI_L4_SR,2017-12-12,-42.0,-4.5
1,CBERS4_MUX_L4_DN,2017-12-12,-65.0,4.5
32,CBERS4_MUX_L4_SR,2017-12-12,-41.5,-2.5
5,CBERS4_AWFI_L4_SR,2017-12-13,-56.0,6.5
8,CBERS4_MUX_L4_SR,2017-12-13,-58.0,-2.5
10,CBERS4_AWFI_L4_SR,2017-12-14,-49.5,-4.5
33,CBERS4_MUX_L4_SR,2017-12-14,-53.0,-19.5
13,CBERS4_AWFI_L4_SR,2017-12-15,-41.0,-4.5
1,CBERS4_MUX_L4_DN,2017-12-15,-65.5,-3.5
32,CBERS4_MUX_L4_SR,2017-12-15,-40.5,-3.5
9,CBERS4_AWFI_L4_SR,2017-12-16,-55.0,6.5
28,CBERS4_MUX_L4_SR,2017-12-16,-57.5,-5.5
11,CBERS4_AWFI_L4_SR,2017-12-17,-48.5,-4.5
25,CBERS4_MUX_L4_SR,2017-12-17,-48.0,-1.0
14,CBERS4_AWFI_L4_SR,2017-12-18,-40.0,-4.5
35,CBERS4_MUX_L4_SR,2017-12-18,-40.0,-5.5
8,CBERS4_AWFI_L4_SR,2017-12-19,-55.0,1.0
12,CBERS4_MUX_L4_DN,2017-12-19,-54.5,4.5
3,CBERS4_MUX_L4_SR,2017-12-19,-57.0,-8.0
11,CBERS4_AWFI_L4_SR,2017-12-20,-47.5,-4.5
23,CBERS4_MUX_L4_SR,2017-12-20,-48.0,-7.0
13,CBERS4_AWFI_L4_SR,2017-12-21,-39.0,-4.5
27,CBERS4_MUX_L4_SR,2017-12-21,-39.5,-8.0
8,CBERS4_AWFI_L4_SR,2017-12-22,-54.0,1.0
17,CBERS4_MUX_L4_SR,2017-12-22,-53.0,5.5
7,CBERS4_AWFI_L4_SR,2017-12-23,-46.5,-4.5
13,CBERS4_MUX_L4_SR,2017-12-23,-47.0,-7.0
12,CBERS4_AWFI_L4_SR,2017-12-24,-38.0,-4.5
